PC	LPC	FA	SM	TG	DG	PI	PE	CE	Cer	PC O-	CAR	LPC O-
-0.15666041275797377	-0.03939962476547844	0.6315196998123829	-0.4183864915572234	1	0.26772983114446536	0.10225140712945593	-0.3165103189493434	-0.03095684803001877	-0.11163227016885557	-0.3001876172607881	-0.015009380863039403	-0.3889305816135085
0.09793621013133211	-0.0073170731707317095	-0.328142589118199	1	-0.4183864915572234	-0.23527204502814264	-0.13227016885553475	0.29305816135084434	0.3099437148217637	0.41894934333958733	0.34277673545966236	0.301125703564728	0.25440900562851787
0.729080675422139	-0.7371482176360227	-0.31707317073170743	-0.13227016885553475	0.10225140712945593	0.6579737335834899	1	0.5459662288930583	-0.07298311444652911	-0.12908067542213889	0.5654784240150096	-0.5056285178236399	-0.6615384615384617
0.7238273921200752	-0.6953095684803003	-0.5467166979362102	0.29305816135084434	-0.3165103189493434	0.5500938086303941	0.5459662288930583	1	0.2058161350844278	0.11125703564727958	0.8234521575984992	-0.23377110694183872	-0.19568480300187624
0.829831144465291	-0.7709193245778614	-0.5487804878048782	0.34277673545966236	-0.3001876172607881	0.554971857410882	0.5654784240150096	0.8234521575984992	0.16735459662288935	-0.01181988742964353	1	-0.38536585365853665	-0.31707317073170743
1	-0.8583489681050659	-0.5939962476547844	0.09793621013133211	-0.15666041275797377	0.6915572232645405	0.729080675422139	0.7238273921200752	-0.11932457786116325	-0.12251407129455914	0.829831144465291	-0.5906191369606005	-0.5450281425891184
-0.5450281425891184	0.6908067542213886	-0.10919324577861167	0.25440900562851787	-0.3889305816135085	-0.6016885553470921	-0.6615384615384617	-0.19568480300187624	0.28386491557223276	0.09699812382739215	-0.31707317073170743	0.453846153846154	1
-0.8583489681050659	1	0.2754221388367731	-0.0073170731707317095	-0.03939962476547844	-0.7495309568480302	-0.7371482176360227	-0.6953095684803003	0.0073170731707317095	0.10037523452157601	-0.7709193245778614	0.5330206378986868	0.6908067542213886
-0.5939962476547844	0.2754221388367731	1	-0.328142589118199	0.6315196998123829	-0.0626641651031895	-0.31707317073170743	-0.5467166979362102	-0.08611632270168859	0.07148217636022516	-0.5487804878048782	0.3097560975609757	-0.10919324577861167
0.6915572232645405	-0.7495309568480302	-0.0626641651031895	-0.23527204502814264	0.26772983114446536	1	0.6579737335834899	0.5500938086303941	-0.039024390243902446	-0.2923076923076924	0.554971857410882	-0.48724202626641666	-0.6016885553470921
-0.12251407129455914	0.10037523452157601	0.07148217636022516	0.41894934333958733	-0.11163227016885557	-0.2923076923076924	-0.12908067542213889	0.11125703564727958	0.10750469043151972	1	-0.01181988742964353	0.3375234521575986	0.09699812382739215
-0.11932457786116325	0.0073170731707317095	-0.08611632270168859	0.3099437148217637	-0.03095684803001877	-0.039024390243902446	-0.07298311444652911	0.2058161350844278	1	0.10750469043151972	0.16735459662288935	0.20825515947467171	0.28386491557223276
-0.5906191369606005	0.5330206378986868	0.3097560975609757	0.301125703564728	-0.015009380863039403	-0.48724202626641666	-0.5056285178236399	-0.23377110694183872	0.20825515947467171	0.3375234521575986	-0.38536585365853665	1	0.453846153846154
