,Chi2,p-value,p-value (BH corrected)
DG,0.029934210526315973,0.862639591019358,1.0
CAR,2.126550751879701,0.14476619644361308,1.0
CE,0.0,1.0,1.0
Cer,1.2370770676691718,0.2660351186466848,1.0
Chol,0.6652725563909783,0.41470468054923515,1.0
HexCer,0.0,1.0,1.0
LPC,0.22053571428571378,0.6386320338113531,1.0
PC,1.2370770676691718,0.2660351186466848,1.0
PE,0.029934210526315973,0.862639591019358,1.0
SM,0.029934210526315973,0.862639591019358,1.0
TG,0.029934210526315973,0.862639591019358,1.0
FA,0.6652725563909783,0.41470468054923515,1.0
PI,0.22053571428571378,0.6386320338113531,1.0
